timestamp,latitude,longitude,speedMps,Calc_deg_servo_1,Calc_deg_servo_2,roll,pitch,yaw,zigzag_yaw,rpm_prop_1,rpm_prop_2,battery_1,battery_2,mode_auto,x_enu_flat,y_enu_flat,z_enu_flat,X_ecef,Y_ecef,Z_ecef,x_enu_ecef,y_enu_ecef,z_enu_ecef
3586.814,-7.286489,112.795935,1.48,0.04,0.33,4.44,0.97,129.81,0,4019,4080,12.25,11.98,0,12.1326663272255,-3.66943257928954,0,-2451385.77173606,5832774.66993208,-803571.50434111,12.1469108803313,-3.64954206899906,-1.26169669588672e-05
3586.914,-7.28649,112.795936,1.64,0.45,-1.86,4.39,0.99,129.19,0,4080,4019,12.05,11.94,0,12.2429632935516,-3.78062750585088,0,-2451385.86810262,5832774.61421645,-803571.614040148,12.2573373160967,-3.76013423496681,-1.28928883422197e-05
3587.014,-7.286491,112.795937,1.64,1.35,-2.15,4.44,0.98,128.58,0,4019,4019,12.1,11.97,0,12.3532602598778,-3.89182243251098,0,-2451385.96446918,5832774.55850081,-803571.723739187,12.3677637499395,-3.87072640142142,-1.31726173979718e-05
3587.114,-7.286492,112.795938,1.52,0.04,-1.68,4.6,0.93,127.96,0,4019,4080,12.42,12.03,0,12.4635572277714,-4.00301735917108,0,-2451386.06083574,5832774.50278516,-803571.833438225,12.4781901863767,-3.98131856804461,-1.34573364199975e-05
3587.214,-7.286492,112.795939,1.61,0.04,-1.86,4.77,0.92,127.34,0,4019,4019,12.42,12,0,12.5738541940975,-4.00301735917108,0,-2451386.16263686,5832774.46000041,-803571.833438225,12.5886166470028,-3.98131859571774,-1.36737649413243e-05
3587.314,-7.286493,112.79594,1.67,0.93,-1.86,4.82,0.95,126.73,0,3959,4019,12.29,12.04,0,12.6841511604237,-4.11421228583118,0,-2451386.25900341,5832774.40428476,-803571.943137263,12.6990430815175,-4.09191076305874,-1.39622621065927e-05
3587.414,-7.286495,112.795941,1.54,0.57,-1.56,4.75,0.97,126.13,0,4019,4019,12,12.01,0,12.7944481267498,-4.33660213915139,0,-2451386.34993539,5832774.33563822,-803572.162535339,12.8094694852856,-4.31309506980055,-1.43299182306933e-05
3587.514,-7.286496,112.795942,1.61,0.45,-2.33,4.64,0.97,125.54,0,4080,4140,12.04,11.99,0,12.904745093076,-4.44779706571273,0,-2451386.44630194,5832774.27992257,-803572.272234376,12.9198959182572,-4.42368723723485,-1.46292418119476e-05
3587.614,-7.286497,112.795943,1.72,-0.19,-1.02,4.55,0.94,124.95,0,4019,4080,12.44,12.01,0,13.0150420594021,-4.55899199237283,0,-2451386.54266849,5832774.22420691,-803572.381933413,13.0303223489454,-4.53427940527807,-1.49314918915788e-05
3587.714,-7.286498,112.795944,1.61,0.57,-1.2,4.49,0.92,124.36,0,4080,4080,12.25,12,0,13.1253390272957,-4.67018691903293,0,-2451386.63903503,5832774.16849125,-803572.49163245,13.1407487822965,-4.64487157335808,-1.52377013289406e-05
3587.814,-7.286499,112.795945,1.55,-0.19,-1.62,4.48,0.92,123.77,0,4080,4080,12.44,11.99,0,13.2356359936219,-4.78138184569303,0,-2451386.73540157,5832774.11277559,-803572.601331486,13.2511752120078,-4.75546374190101,-1.55484490559354e-05
3587.914,-7.2865,112.795946,1.63,-0.37,-1.2,4.54,0.93,123.2,0,4019,4140,12.3,11.97,0,13.345932959948,-4.89257677235313,0,-2451386.83176812,5832774.05705992,-803572.711030523,13.3616016431626,-4.86605591076404,-1.58626181269161e-05
3588.014,-7.286501,112.795946,1.57,0.04,-1.86,4.61,0.94,122.62,0,4080,4080,12.05,11.94,0,13.345932959948,-5.00377169901323,0,-2451386.82633354,5832774.04412902,-803572.820729559,13.3616016132247,-4.97664804974842,-1.59486168648248e-05
3588.114,-7.286502,112.795947,1.64,-0.31,-3.52,4.64,0.92,122.05,0,4080,4080,12.01,11.99,0,13.4562299262742,-5.11496662557457,0,-2451386.92270008,5832773.98841335,-803572.930428595,13.4720280418907,-5.08724021869189,-1.62689223767165e-05
3588.214,-7.286503,112.795948,1.56,0.21,-1.2,4.6,0.91,121.5,0,4019,4140,12.37,12,0,13.5665268926003,-5.22616155223468,0,-2451387.01906661,5832773.93269767,-803573.040127631,13.5824544719316,-5.19783238808724,-1.65936798403044e-05
3588.314,-7.286505,112.795949,1.57,0.45,-1.56,4.52,0.92,120.94,0,4080,4140,12.05,12.01,0,13.6768238589265,-5.44855140555488,0,-2451387.10999857,5832773.86405108,-803573.259525701,13.6928808692722,-5.41901669661262,-1.7014753972866e-05
3588.414,-7.286506,112.79595,1.59,0.04,-1.62,4.44,0.95,120.38,0,4080,4080,12.42,12.02,0,13.7871208268201,-5.55974633221498,0,-2451387.2063651,5832773.8083354,-803573.369224736,13.8033072991948,-5.52960886634644,-1.73476659244276e-05
3588.514,-7.286507,112.795951,1.65,0.45,-1.56,4.42,0.95,119.83,0,3959,4019,12.13,12.06,0,13.8974177931462,-5.67094125887508,0,-2451387.30273163,5832773.75261971,-803573.478923771,13.9137337259071,-5.64020103628935,-1.76849667310464e-05
3588.614,-7.286508,112.795951,1.61,0.69,-2.45,4.44,0.93,119.28,0,4019,4140,12.04,12.02,0,13.8974177931462,-5.78213618553518,0,-2451387.29729705,5832773.7396888,-803573.588622805,13.9137336954402,-5.75079317571001,-1.77853921906612e-05
3588.714,-7.286509,112.795952,1.53,-0.19,-1.86,4.52,0.91,118.72,0,4080,4140,12.37,12.02,0,14.0077147594724,-5.89333111209652,0,-2451387.39366358,5832773.68397311,-803573.698321839,14.024160122171,-5.86138534584331,-1.81287715051992e-05
3588.814,-7.28651,112.795953,1.67,-0.13,-1.62,4.59,0.91,118.17,0,4019,4080,12.26,11.94,0,14.1180117257985,-6.00452603875662,0,-2451387.4900301,5832773.62825741,-803573.808020873,14.1345865474771,-5.97197751619334,-1.84747636886584e-05
3588.914,-7.286512,112.795954,1.6,0.21,-1.62,4.62,0.95,117.63,0,4080,4080,12.04,11.98,0,14.2283086921247,-6.22691589207683,0,-2451387.58096204,5832773.55961079,-803574.027418941,14.2450129419926,-6.19316182623594,-1.89324866995966e-05
3589.014,-7.286513,112.795954,1.44,-0.55,-1.62,4.59,0.97,117.09,0,4019,4140,12.39,12.02,0,14.2283086921247,-6.33811081873693,0,-2451387.57552746,5832773.54667987,-803574.137117974,14.2450129104804,-6.30375396547977,-1.90425437689434e-05
3589.114,-7.286514,112.795956,1.57,2.3,-1.86,4.53,0.96,116.57,0,4019,4140,12.09,11.99,0,14.4489026263444,-6.44930574539703,0,-2451387.77369508,5832773.44817938,-803574.246817007,14.4658657926107,-6.41434616840675,-1.96497418769592e-05
3589.214,-7.286515,112.795956,1.49,-0.19,-1.2,4.5,0.93,116.03,0,4080,4080,12.45,12.03,0,14.4489026263444,-6.56050067195837,0,-2451387.76826049,5832773.43524846,-803574.35651604,14.4658657604639,-6.52493830772236,-1.97631140266274e-05
3589.314,-7.286516,112.795957,1.66,0.04,-1.14,4.52,0.93,115.49,0,4019,4080,12.23,12.02,0,14.5591995926706,-6.67169559861847,0,-2451387.864627,5832773.37953275,-803574.466215072,14.57629218325,-6.63553047901183,-2.01283859767587e-05
3589.414,-7.286518,112.795958,1.53,-0.13,-2.03,4.55,0.95,114.96,0,4019,4140,12.39,12.04,0,14.6694965589967,-6.89408545193867,0,-2451387.95555893,5832773.3108861,-803574.685613137,14.6867185748534,-6.85671479005113,-2.06177690292852e-05
3589.514,-7.286519,112.795958,1.66,-0.13,-2.33,4.59,0.95,114.41,0,4080,4140,12.47,11.99,0,14.6694965589967,-7.00528037859877,0,-2451387.95012434,5832773.29795517,-803574.795312168,14.6867185422274,-6.96730692936537,-2.07384735511074e-05
3589.614,-7.28652,112.795959,1.59,0.45,-1.62,4.61,0.93,113.86,0,4019,4019,12.36,11.99,0,14.7797935253229,-7.11647530525888,0,-2451388.04649085,5832773.24223945,-803574.9050112,14.797144963402,-7.07789910122635,-2.11155582297007e-05
3589.714,-7.286521,112.79596,1.64,0.45,-1.14,4.59,0.93,113.3,0,4019,4080,12.47,12.01,0,14.890090491649,-7.22767023182022,0,-2451388.14285735,5832773.18652372,-803575.014710231,14.9075713858831,-7.18849127344003,-2.14981549975235e-05
3589.814,-7.286522,112.795961,1.51,0.45,-2.39,4.53,0.93,112.76,0,4080,4140,12.05,11.99,0,15.0003874595426,-7.33886515848032,0,-2451388.23922386,5832773.13080799,-803575.124409263,15.0179978081588,-7.29908344616451,-2.18838288230661e-05
3589.914,-7.286524,112.795962,1.74,-1.92,-2.15,4.44,0.93,112.22,0,4019,4080,12.26,12.04,0,15.1106844258688,-7.56125501180052,0,-2451388.33015577,5832773.06216132,-803575.343807324,15.1284241957676,-7.52026775798929,-2.24023022147302e-05
3590.014,-7.286525,112.795962,1.62,0.04,-1.26,4.38,0.93,111.67,0,4080,4080,12.36,12,0,15.1106844258688,-7.67244993846062,0,-2451388.32472117,5832773.04923038,-803575.453506354,15.1284241623202,-7.63085989738367,-2.25355659714266e-05
3590.114,-7.286526,112.795963,1.39,0.57,-1.56,4.37,0.93,111.14,0,4080,4080,12.44,12.04,0,15.2209813921949,-7.78364486512072,0,-2451388.42108767,5832772.99351464,-803575.563205385,15.2388505813357,-7.74145207052394,-2.29327525325118e-05
3590.214,-7.286527,112.795964,1.63,0.57,-2.45,4.41,0.92,110.61,0,4019,4140,12.26,11.98,0,15.3312783585211,-7.89483979178083,0,-2451388.51745417,5832772.9377989,-803575.672904414,15.3492770012968,-7.85204424379253,-2.33346143028168e-05
3590.314,-7.286528,112.795964,1.54,-0.31,-1.02,4.49,0.9,110.09,0,4080,4080,12.17,12.02,0,15.3312783585211,-8.00603471834216,0,-2451388.51201957,5832772.92486795,-803575.782603444,15.3492769672148,-7.96263638302775,-2.34712226698797e-05
3590.414,-7.28653,112.795965,1.55,-0.31,-0.85,4.57,0.9,109.57,0,4019,4080,12.04,11.97,0,15.4415753248472,-8.22842457166237,0,-2451388.60295147,5832772.85622126,-803576.002001503,15.4597033503313,-8.18382069579268,-2.40199959733456e-05
3590.514,-7.286531,112.795965,1.61,0.04,-0.85,4.59,0.91,109.05,0,4019,4080,12.11,11.95,0,15.4415753248472,-8.33961949832247,0,-2451388.59751687,5832772.84329031,-803576.111700532,15.4597033161994,-8.2944128352346,-2.41637282198948e-05
3590.614,-7.286532,112.795966,1.68,-0.31,-1.56,4.55,0.91,108.54,0,4080,4140,12.25,11.97,0,15.5518722927408,-8.45081442498257,0,-2451388.69388336,5832772.78757455,-803576.22139956,15.5701297361292,-8.40500500901577,-2.45787776125272e-05
3590.714,-7.286534,112.795967,1.47,-0.31,-1.02,4.47,0.88,108.03,0,3959,4019,12.17,11.96,0,15.662169259067,-8.67320427820401,0,-2451388.78481524,5832772.71892784,-803576.440797617,15.6805561176528,-8.62618932219618,-2.51454864454992e-05
3590.814,-7.286535,112.795967,1.37,0.04,-2.33,4.4,0.87,107.52,0,4019,4080,12.44,12.01,0,15.662169259067,-8.78439920486411,0,-2451388.77938064,5832772.70599688,-803576.550496645,15.6805560826125,-8.73678146142866,-2.52967595566478e-05
3590.914,-7.286536,112.795968,1.51,-0.13,-0.85,4.35,0.87,107.01,0,4080,4140,12.08,11.97,0,15.7724662253931,-8.89559413152421,0,-2451388.87574713,5832772.65028112,-803576.660195673,15.7909824993505,-8.84737363584027,-2.57222467832108e-05
3591.014,-7.286537,112.795968,1.55,0.04,-1.14,4.36,0.87,106.5,0,4019,4140,12.47,11.97,0,15.7724662253931,-9.00678905818432,0,-2451388.87031252,5832772.63735015,-803576.7698947,15.7909824643288,-8.95796577537862,-2.58795836363124e-05
