timestamp;latitude;longitude;speedMps;Calc_deg_servo_1;Calc_deg_servo_2;roll;pitch;yaw;zigzag_yaw;rpm_prop_1;rpm_prop_2;battery_1;battery_2;mode_auto;x_enu_flat;y_enu_flat;z_enu_flat;X_ecef;Y_ecef;Z_ecef;x_enu_ecef;y_enu_ecef;z_enu_ecef,
2.024.531;-7.287.162;112.796.124;0.48;35.68;35.5;6.1;0.68;83.92;0;2159;2220;11.97;10.89;1;-772.077.511.764.735;244.628.838.612.719;0;-245.140.135.447.802;58.327.578.807.122;-80.364.533.173.994;-772.984.084.467.802;243.302.653.640.401;-5,
2.024.631;-7.287.163;112.796.124;0.63;35.5;35.44;6.1;0.68;82.43;0;2220;2220;11.76;10.86;1;-772.077.511.764.735;233.509.345.956.585;0;-245.140.134.904.291;583.275.786.778.015;-803.645.441.438.818;-77.298.408.278.023;23.224.343.939.771;-5,
2.024.731;-7.287.164;112.796.124;0.52;35.62;35.14;6.05;0.68;80.94;0;2220;2159;11.92;10.83;1;-772.077.511.764.735;222.389.853.290.574;0;-245.140.134.360.781;583.275.785.484.809;-803.645.551.137.695;-772.984.081.056.573;22.118.422.514.413;-5,
2.024.831;-7.287.164;112.796.124;0.6;35.26;35.5;5.96;0.68;79.46;0;2159;2220;11.99;10.86;1;-772.077.511.764.735;222.389.853.290.574;0;-245.140.134.360.781;583.275.785.484.809;-803.645.551.137.695;-772.984.081.056.573;22.118.422.514.413;-5,
2.024.931;-7.287.165;112.796.124;0.55;34.96;35.5;5.86;0.68;77.99;0;2220;2220;11.86;10.85;1;-772.077.511.764.735;211.270.360.624.564;0;-24.514.013.381.727;583.275.784.191.604;-803.645.660.836.571;-772.984.079.346.604;210.125.010.898.833;-5,
2.025.031;-7.287.165;112.796.124;0.67;35.56;35.32;5.82;0.68;76.51;0;2220;2159;11.94;10.89;1;-772.077.511.764.735;211.270.360.624.564;0;-24.514.013.381.727;583.275.784.191.604;-803.645.660.836.571;-772.984.079.346.604;210.125.010.898.833;-5,
2.025.131;-7.287.166;112.796.124;0.44;35.62;35.44;5.88;0.68;75.03;0;2159;2220;11.95;10.81;1;-772.077.511.764.735;200.150.867.958.554;0;-24.514.013.327.376;583.275.782.898.398;-803.645.770.535.448;-77.298.407.764.348;199.065.796.651.906;-5,
2.025.231;-7.287.166;112.796.124;0.68;35.8;35.32;5.98;0.68;73.54;0;2220;2220;11.94;11.02;1;-772.077.511.764.735;200.150.867.958.554;0;-24.514.013.327.376;583.275.782.898.398;-803.645.770.535.448;-77.298.407.764.348;199.065.796.651.906;-5,
2.025.331;-7.287.167;112.796.124;0.51;35.8;35.14;6.08;0.67;72.06;0;2220;2159;11.87;10.86;1;-772.077.511.764.735;189.031.375.292.544;0;-245.140.132.730.249;583.275.781.605.193;-803.645.880.234.324;-77.298.407.591.796;188.006.582.402.373;-4,
2.025.431;-7.287.167;112.796.124;0.71;35.68;35.85;6.13;0.67;70.58;0;2159;2220;11.88;10.89;1;-772.077.511.764.735;189.031.375.292.544;0;-245.140.132.730.249;583.275.781.605.193;-803.645.880.234.324;-77.298.407.591.796;188.006.582.402.373;-4,
2.025.531;-7.287.168;112.796.124;0.5;35.5;35.62;6.09;0.68;69.1;0;2220;2220;11.97;10.85;1;-772.077.511.764.735;177.911.882.626.534;0;-245.140.132.186.738;583.275.780.311.987;-8.036.459.899.332;-7.729.840.741.632;176.947.368.140.317;-4,
2.025.631;-7.287.168;112.796.124;0.64;35.26;35.5;5.99;0.68;67.63;0;2220;2159;12.11;10.86;1;-772.077.511.764.735;177.911.882.626.534;0;-245.140.132.186.738;583.275.780.311.987;-8.036.459.899.332;-7.729.840.741.632;176.947.368.140.317;-4,
2.025.731;-7.287.169;112.796.124;0.57;35.26;36.09;5.89;0.69;66.15;0;2159;2220;12;10.83;1;-772.077.511.764.735;1.667.923.899.704;0;-245.140.131.643.227;58.327.577.901.878;-803.646.099.632.076;-772.984.072.494.297;165.888.153.919.875;-4,
2.025.831;-7.287.169;112.796.124;0.58;35.26;35.26;5.85;0.69;64.68;0;2220;2220;11.89;10.89;1;-772.077.511.764.735;1.667.923.899.704;0;-245.140.131.643.227;58.327.577.901.878;-803.646.099.632.076;-772.984.072.494.297;165.888.153.919.875;-4,
2.025.931;-728.717;112.796.124;0.49;35.62;35.79;5.86;0.69;63.2;0;2220;2159;11.94;10.9;1;-772.077.511.764.735;15.567.289.730.439;0;-245.140.131.099.716;583.275.777.725.574;-803.646.209.330.952;-772.984.070.766.914;154.828.939.651.294;-4,
2.026.031;-728.717;112.796.123;0.65;35.5;35.5;5.92;0.69;61.73;0;2159;2220;11.82;10.89;1;-783.107.190.634.102;15.567.289.730.439;0;-245.140.120.919.633;583.275.782.004.076;-803.646.209.330.952;-784.026.700.540.596;154.828.937.918.502;-5,
2.026.131;-7.287.171;112.796.123;0.6;34.96;35.32;5.99;0.69;60.26;0;2220;2220;11.87;10.89;1;-783.107.190.634.102;14.455.340.463.838;0;-245.140.120.376.122;58.327.578.071.087;-803.646.319.029.827;-784.026.698.813.213;143.769.723.684.564;-4,
2.026.231;-7.287.171;112.796.123;0.64;35.44;35.14;6.04;0.69;58.77;0;2220;2220;11.82;10.85;1;-783.107.190.634.102;14.455.340.463.838;0;-245.140.120.376.122;58.327.578.071.087;-803.646.319.029.827;-784.026.698.813.213;143.769.723.684.564;-4,
2.026.331;-7.287.172;112.796.123;0.58;35.62;35.91;6.04;0.69;57.29;0;2159;2220;11.97;10.85;1;-783.107.190.634.102;133.433.911.972.369;0;-245.140.119.832.611;583.275.779.417.663;-803.646.428.728.702;-784.026.697.070.279;132.710.509.400.198;-4,
2.026.431;-7.287.172;112.796.123;0.64;35.56;35.32;5.99;0.69;55.8;0;2220;2220;11.87;10.89;1;-783.107.190.634.102;133.433.911.972.369;0;-245.140.119.832.611;583.275.779.417.663;-803.646.428.728.702;-784.026.697.070.279;132.710.509.400.198;-4,
2.026.531;-7.287.173;112.796.123;0.52;35.5;35.5;5.92;0.69;54.31;0;2220;2220;11.97;10.85;1;-783.107.190.634.102;122.314.419.306.359;0;-2.451.401.192.891;583.275.778.124.456;-803.646.538.427.577;-784.026.695.334.188;121.651.295.171.938;-4,
