u,v,r,x_ENU,y_ENU,psi,delta,n_P,n_S,rpm
-0.694289647644085,0.0839055817063052,-0.291469985083318,2.53980489961037,3.31776421009612,2.01236462754946,0.619068285682389,37,37,2220
-0.582325453472044,-0.227355450033505,-0.291469985082657,2.53980489961037,3.31776421009612,1.98321762904116,0.614879495477602,37,35.9833333333333,2189.5
-0.697983576841584,0.0435567083716743,-0.287979326579324,2.53980489390108,3.20717206771561,1.95441969638325,0.609643507721619,35.9833333333333,37,2189.5
-0.491551572425356,-0.0533185993912577,-0.28623399732733,2.65023119283877,3.20717206203521,1.92579629665054,0.619068285682389,37,37,2220
-0.489836021018072,-0.0672792234420152,-0.28448866807469,2.65023118699258,3.09657991950659,1.89734742984304,0.617497489355594,37,35.9833333333333,2189.5
-0.55264095453878,-0.292200972905517,-0.282743338823336,2.65023118699258,3.09657991950659,1.86907309596073,0.61854468690679,35.9833333333333,37,2189.5
-0.698427598193096,-0.0357372648567602,-0.280998009570704,2.65023118699258,3.09657991950659,1.84097329500362,0.617497489355594,37,37,2220
-0.48245057802535,-0.108200101623153,-0.277507351067351,2.76065748073733,2.9859877708325,1.81322255989691,0.616450291804397,37,35.9833333333333,2189.5
-0.47926257457194,-0.12154508152508,-0.277507351067351,2.76065747468581,2.87539562860137,1.7854718247902,0.613832297926406,35.9833333333333,37,2189.5
-0.73413390604258,-0.310569281778962,-0.275762021814728,2.76065747468581,2.87539562860137,1.75789562260869,0.617497489355594,37,37,2220
-0.471885301700518,-0.147614641951201,-0.272271363311362,2.76065747468581,2.87539562860137,1.73066848627758,0.62788219840496,37,35.9833333333333,2189.5
-0.467691776834994,-0.160406428376167,-0.272271363310745,2.87108376630273,2.76480347985333,1.70344134994647,0.619591884457987,35.9833333333333,37,2189.5
-0.463181766499326,-0.172998472730681,-0.270526034059366,2.87108376630273,2.76480347985333,1.67638874654055,0.625264204526969,37,37,2220
-0.678893887393882,-0.167873015961257,-0.267035375555376,2.87108376004588,2.65421133757325,1.64968520898504,0.627358599629362,37,35.9833333333333,2189.5
-0.453286403460135,-0.197477237882849,-0.267035375554769,2.87108376004588,2.65421133757325,1.62298167142953,0.624217006975772,35.9833333333333,37,2189.5
-0.669000135276915,-0.203757407783926,-0.265290046303378,2.87108375322284,2.54361919489124,1.59645266679921,0.622209878335978,37,37,2220
-0.663398521888562,-0.221315754738318,-0.263544717050786,2.98151005382786,2.54361918840274,1.5700981950941,0.621162680784782,37,35.9833333333333,2189.5
-0.657336166157097,-0.238720394611453,-0.26354471705138,2.98151004729723,2.4330270460574,1.54374372338898,0.620639082009184,35.9833333333333,37,2189.5
-0.429905742154228,-0.244227098030028,-0.265290046303378,2.98151004069815,2.32243490369576,1.51721471875867,0.615926693028799,37,37,2220
-0.661434008737792,-0.0529853044792531,-0.263544717050786,2.98151004069815,2.32243490369576,1.49086024705356,0.620639082009184,37,35.9833333333333,2189.5
-0.659820358622621,-0.0702814716720855,-0.261799387799387,2.98151004069815,2.32243490369576,1.46468030827364,0.621162680784782,35.9833333333333,37,2189.5
-0.438513178154001,-0.058276446722605,-0.2600540585468,2.98151003382529,2.21184276126885,1.43867490241893,0.619068285682389,37,37,2220
-0.655274363299888,-0.104488755172845,-0.260054058547393,2.98151002731327,2.10125061873304,1.41266949656421,0.617497489355594,37,35.9833333333333,2189.5
-0.652357029169562,-0.12137832445996,-0.258308729295397,2.98151002731327,2.10125061873304,1.38683862363469,0.617497489355594,35.9833333333333,37,2189.5
-0.649028552751011,-0.138073636078857,-0.256563400042816,2.98151002066437,1.99065847628008,1.36118228363038,0.614879495477602,37,37,2220
-0.430163914552716,-0.103193789557757,-0.258308729295393,2.98151002066437,1.99065847628008,1.33535141070086,0.61854468690679,37,35.9833333333333,2189.5
-0.641032684903693,-0.171404457479505,-0.25830872929481,2.98151001394702,1.8800663338108,1.30952053777135,0.620115483233585,35.9833333333333,37,2189.5
-0.424239331941252,-0.125343292184396,-0.260054058547391,2.98151001394702,1.8800663338108,1.28351513191663,0.620639082009184,37,37,2220
-0.631290659634254,-0.204388098146779,-0.258308729295395,2.98151000745362,1.76947419131546,1.25768425898711,0.619068285682389,37,35.9833333333333,2189.5
-0.41720075071404,-0.147083260543188,-0.25830872929481,2.98151000745362,1.76947419131546,1.2318533860576,0.624217006975772,35.9833333333333,37,2189.5
-0.619894059848309,-0.236714480899049,-0.258308729295397,2.98151000125262,1.65888204869491,1.20602251312808,0.620639082009184,37,37,2220
-0.409078325398344,-0.168359362979618,-0.256563400042816,2.98151000125262,1.65888204869491,1.18036617312376,0.617497489355594,37,35.9833333333333,2189.5
-0.606890208067821,-0.268303311122849,-0.258308729295393,2.98150999419305,1.54828990649049,1.15453530019425,0.622646210648977,35.9833333333333,37,2189.5
-0.494324474531636,0.0104467695808053,-0.256563400043399,2.98150999419305,1.54828990649049,1.12887896018993,0.615403094253201,37,37,2220
-0.691855349429701,-0.102051142970107,-0.25830872929481,2.98150998771827,1.43769776380468,1.10304808726042,0.623169809424575,37,35.9833333333333,2189.5
-0.494207045827378,-0.015007221342648,-0.256563400043399,2.87108368998138,1.43769777018979,1.0773917472561,0.619591884457987,35.9833333333333,37,2189.5
-0.685710505142632,-0.137402199748415,-0.256563400042816,2.8710836835066,1.32710562785041,1.05173540725178,0.613308699150807,37,37,2220
-0.492772734689303,-0.0405074428544356,-0.260054058547391,2.8710836835066,1.32710562785041,1.02573000139707,0.615926693028799,37,37,2220
-0.558324327827336,-0.358575426158031,-0.258308729295397,2.87108367718734,1.21651348500675,0.999899128467551,0.624217006975772,35.9833333333333,37,2189.5
-0.490012023919668,-0.0659851067955112,-0.260054058546801,2.87108367718734,1.21651348500675,0.973893722612836,0.61854468690679,37,37,2220
-0.667773209898827,-0.207743105250323,-0.26005405854739,2.87108367079962,1.10592134272415,0.94788831675812,0.619591884457987,37,37,2220
-0.485887085027937,-0.0915399243116969,-0.263544717050786,2.76065737672099,1.10592134891987,0.921533845053006,0.618021088131192,35.9833333333333,37,2189.5
-0.655943296842059,-0.242521437007572,-0.261799387799388,2.76065737062568,0.995329206396579,0.895353906273091,0.619591884457987,37,37,2220
-0.622999415318868,0.0516250366383834,-0.265290046303378,2.76065737062568,0.995329206396579,0.868824901642777,0.619068285682389,37,37,2220
-0.64211020701198,-0.277078941600883,-0.267035375554768,2.76065736446192,0.884737064087923,0.842121364087264,0.619068285682389,35.9833333333333,37,2189.5
-0.473483189929465,-0.142406063787988,-0.26529004630338,2.65023106945627,0.884737070106081,0.81559235945695,0.620551815546584,37,37,2220
-0.625132660281006,0.00160396769578319,-0.26878070480676,2.65023106344802,0.774144927524103,0.788714288976238,0.615403094253201,37,37,2220
-0.624949972078265,-0.0151969493356244,-0.268780704807371,2.65023106344802,0.774144927524103,0.761836218495525,0.610254372959817,35.9833333333333,35.9833333333333,2159
-0.460442958248074,-0.180161314586093,-0.270526034059367,2.53980476995418,0.774144933238434,0.734783615089613,0.621162680784782,37,37,2220
-0.45533400309865,-0.192709009461252,-0.274016692562736,2.53980476437522,0.663552790794816,0.707381945833302,0.615926693028799,37,37,2220
-0.62161486189983,-0.066244827793122,-0.27401669256336,2.53980476437522,0.663552790794816,0.679980276576991,0.62788219840496,35.9833333333333,35.9833333333333,2159
