v,r,x_ENU,y_ENU,psi,delta,rpm
-0.327145072046883,-0.28623399732668,-11.3739083189955,0.884735843635017,4.87679899592256,0.615926693028799,2220
-0.158854752639967,-0.284488668075335,-11.4843346137463,0.884735818393416,4.84835012911505,0.623169809424575,2220
-0.148374844778514,-0.284488668075335,-11.4843346394379,0.99532796093594,4.81990126230754,0.620639082009184,2220
-0.387795846465917,-0.282743338822696,-11.4843346394379,0.99532796093594,4.79162692842523,0.624217006975772,2189.5
-0.186645956850703,-0.280998009571343,-11.4843346649054,1.10592010333693,4.76352712746812,0.614879495477602,2220
-0.205274978032989,-0.277507351066729,-11.5947609858269,1.2165122202927,4.73577639236141,0.62168627956038,2220
-0.223630281222368,-0.275762021815347,-11.5947609858269,1.2165122202927,4.7082001901799,0.623257075887175,2189.5
-0.241586463850333,-0.272271363311364,-11.5947610111389,1.32710436253585,4.68097305384879,0.618981019219789,2220
-0.025927083447545,-0.272271363310745,-11.5947610111389,1.32710436253585,4.65374591751768,0.635648913576335,2189.5
-0.0569095697197902,-0.272271363311364,-11.5947610369487,1.43769650531717,4.62651878118657,0.618021088131192,2189.5
-0.294217232235276,-0.270526034058753,-11.5947610369487,1.43769650531717,4.59946617778066,0.620639082009184,2220
-0.311380042931239,-0.272271363311355,-11.5947610625345,1.548288647726,4.57223904144955,0.62168627956038,2189.5
-0.328204260534167,-0.270526034059368,-11.7051873848621,1.65888076462096,4.54518643804363,0.623169809424575,2189.5
-0.344788297989674,-0.270526034058753,-11.7051873848621,1.65888076462096,4.51813383463772,0.619068285682389,2220
-0.361015488072157,-0.268780704807381,-11.7051874110825,1.76947290695797,4.49125576415701,0.623257075887175,2189.5
-0.162662291279795,-0.265290046302769,-11.7051874110825,1.76947290695797,4.46472675952669,0.615403094253201,2189.5
-0.179780819372406,-0.267035375555376,-11.7051874366497,1.88006504940728,4.43802322197118,0.622209878335978,2220
-0.196549939255955,-0.263544717051385,-11.7051874626462,1.99065719194918,4.41166875026607,0.623693408200174,2189.5
-0.213182552437866,-0.263544717050786,-11.7051874626462,1.99065719194918,4.38531427856095,0.618021088131192,2189.5
-0.229775757229879,-0.265290046303372,-11.7051874884187,2.10124933446503,4.35878527393064,0.62474060575137,2220
-0.0411201551828053,-0.265290046302786,-11.7051874884187,2.10124933446503,4.33225626930032,0.622209878335978,2189.5
-0.0596242437556071,-0.265290046303381,-11.7051875143281,2.21184147683276,4.30572726467001,0.638703239767325,2189.5
-0.0779650756336951,-0.263544717051376,-11.5947612427056,2.32243364532121,4.2793727929649,0.620115483233585,2220
-0.0963726547052097,-0.265290046302777,-11.5947612427056,2.32243364532121,4.25284378833458,0.62168627956038,2189.5
-0.114712411833558,-0.265290046303381,-11.5947612683911,2.43302578766289,4.22631478370427,0.636172512351933,2189.5
-0.216958657668839,-0.265290046302777,-11.5947612683911,2.43302578766289,4.19978577907396,0.623257075887175,2220
-0.340662516690905,-0.265290046303372,-11.5947612942818,2.5436179300711,4.17325677444364,0.620639082009184,2189.5
-0.0506468737190415,-0.265290046303381,-11.5947612942818,2.5436179300711,4.14672776981333,0.620115483233585,2189.5
-0.187135993613109,-0.265290046302786,-11.5947613198802,2.6542100723541,4.12019876518301,0.623257075887175,2220
-0.204944313572964,-0.265290046303372,-11.4843350211973,2.65421009793346,4.0936697605527,0.617497489355594,2189.5
-0.222492692757143,-0.263544717050786,-11.4843350468642,2.76480224066204,4.06731528884759,0.623257075887175,2189.5
0.070517861128452,-0.265290046303381,-11.4843350722386,2.87539438303445,4.04078628421727,0.622209878335978,2220
-0.257454286763934,-0.267035375555376,-11.4843350722386,2.87539438303445,4.01408274666176,0.620639082009184,2189.5
-0.128047010279326,-0.267035375554765,-11.3739087729024,2.87539440826421,3.98737920910625,0.612261501599611,2189.5
0.0204755838750585,-0.268780704807377,-11.3739087979845,2.98598655074235,3.96050113862553,0.625264204526969,2220
0.0035677054419132,-0.270526034058749,-11.3739087979845,2.98598655074235,3.93344853521962,0.628405797180558,2189.5
-0.325740600742725,-0.268780704807368,-11.2634825251551,3.09657871811802,3.90657046473891,0.62474060575137,2189.5
-0.178714026166292,-0.270526034059368,-11.2634825251551,3.09657871811802,3.879517861333,0.625787803302567,2220
-0.214625192426292,-0.270526034058757,-11.26348255015,3.20717086076843,3.85246525792708,0.622209878335978,2189.5
-0.203461849514747,-0.272271363311364,-11.26348255015,3.20717086076843,3.82523812159597,0.620639082009184,2220
-0.390974039006113,-0.274016692562732,-11.1530562744339,3.31776302796571,3.79783645233966,0.621599013097781,2220
-0.0981482753303622,-0.277507351067351,-11.1530562744339,3.31776302796571,3.77008571723295,0.636696111127531,2189.5
-0.297828675285154,-0.279252680319347,-11.1530562995657,3.42835517035254,3.74216044920104,0.624217006975772,2220
-0.252128446579193,-0.279252680318712,-11.0426300005719,3.42835519492335,3.71423518116913,0.628405797180558,2220
-0.149677111396767,-0.282743338823339,-11.0426300246896,3.53894733731358,3.68596084728682,0.620639082009184,2189.5
-0.0579270840927565,-0.284488668074683,-11.0426300246896,3.53894733731358,3.65751198047932,0.617497489355594,2220
-0.184054705378594,-0.286233997327335,-10.9322037245447,3.53894736168947,3.62888858074661,0.620115483233585,2220
-0.0630664941029465,-0.287979326578996,-10.8217774478643,3.64953952799051,3.5712927154308,0.623257075887175,2220
-0.148867043415044,-0.289724655831322,-10.8217774478643,3.64953952799051,3.54232024984769,0.62474060575137,2189.5
-0.251800949243214,-0.291469985082659,-10.7113511706676,3.76013169448671,3.51317325133939,0.619068285682389,2189.5
-0.268566025764051,-0.294960643587309,-10.7113511706676,3.76013169448671,3.48367718698068,0.62168627956038,2220
-0.285097462758293,-0.294960643587309,-10.7113511706676,3.76013169448671,3.45418112262198,0.62168627956038,2189.5
-0.0890005442661071,-0.294960643586639,-10.6009248941054,3.87072386033369,3.42468505826327,0.645510023850103,2189.5
-0.103376384786373,-0.296705972839305,-10.6009248941054,3.87072386033369,3.39501446097937,0.615926693028799,2220
-0.284457022084161,-0.298451302090622,-10.4904985927909,3.87072388374681,3.36516933077027,0.617497489355594,2189.5
-0.132091741870768,-0.300196631343301,-10.4904985927909,3.87072388374681,3.33514966763596,0.619068285682389,2189.5
-0.110362667335417,-0.300196631343297,-10.3800723157809,3.98131604919526,3.30513000450166,0.627271333166762,2220
-0.160415398154293,-0.300196631342614,-10.3800723157809,3.98131604919526,3.27511034136736,0.619591884457987,2189.5
-0.151787778271419,-0.303687289847293,-10.2696460143109,3.9813160721041,3.24474161238266,0.619591884457987,2189.5
-0.188479801164331,-0.303687289846598,-10.2696460143109,3.9813160721041,3.21437288339796,0.619591884457987,2220
-0.192893878287146,-0.303687289847288,-10.159219711329,3.98131609470912,3.18400415441326,0.622209878335978,2189.5
-0.213305632271353,-0.305432619099284,-10.1592197335555,4.09190823695804,3.15346089250335,0.619068285682389,2189.5
